"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description","consc_diff"
"1",1,109,109,"pos",100,100,"discrimination",18,"more perceptive",0
"2",1,109,109,"pos",100,100,"trace",14,"more patient",0
"3",1,109,109,"neg",50,50,"blood",12,"different blood",0
"4",1,109,109,"pos",50,49,"DNA",16,"different DNA",1
"5",1,109,109,"pos",100,85,"deception",10,"more perceptive",15
"6",1,109,109,"neg",49,48,"limbs",10,"lesser arms",1
"7",1,109,109,"pos",73,59,"mirror",12,"cleaner",14
"8",1,109,109,"pos",55,54,"eyes",12,"position of eyes",1
"9",1,108,108,"pos",100,100,"discrimination",17,"Geks can differentiate.",0
"10",1,108,108,"pos",19,21,"eyes",11,"Position of eyes",-2
"11",1,108,108,"neg",6,3,"limbs",11,"arm-like limbs number",3
"12",1,108,108,"pos",100,87,"trace",13,"Time difference",13
"13",1,108,108,"neg",83,57,"deception",11,"Withdrawal when caught",26
"14",1,108,108,"pos",15,18,"DNA",15,"Human DNA resemblance",-3
"15",1,108,108,"pos",100,50,"mirror",11,"Dirt removal",50
"16",1,108,108,"pos",0,0,"blood",11,"Blood's colour",0
"17",1,107,107,"pos",75,75,"blood",10,"Blood colour",0
"18",1,107,107,"neg",75,69,"mirror",12,"Use mirrors",6
"19",1,107,107,"neg",82,79,"trace",14,"Treat awareness",3
"20",1,107,107,"pos",72,72,"limbs",10,"Number of limbs",0
"21",1,107,107,"pos",77,76,"DNA",14,"Connection to humans",1
"22",1,107,107,"pos",79,78,"deception",10,"Sneakyness",1
"23",1,107,107,"pos",76,75,"eyes",10,"Eye locations",1
"24",1,107,107,"pos",83,81,"discrimination",16,"Idenitfy objects",2
"25",1,106,106,"neg",59,55,"deception",11,"Huls hide when they are caught stealing food and Yubs do not",4
"26",1,106,106,"neg",50,49,"discrimination",17,"Object discrimination",1
"27",1,106,106,"pos",94,50,"mirror",11,"Mirror self recognition",44
"28",1,106,106,"pos",50,51,"limbs",9,"Number of limbs",-1
"29",1,106,106,"neg",50,39,"trace",15,"Associative learning ability",11
"30",1,106,106,"neg",50,51,"DNA",15,"Biological similarity to humans",-1
"31",1,106,106,"neg",50,51,"eyes",11,"Eye position",-1
"32",1,106,106,"neg",48,51,"blood",11,"Blood colour",-3
"33",1,105,105,"neg",67,43,"mirror",12,"Leems more clean",24
"34",1,105,105,"neg",58,58,"limbs",10,"Chups have less limbs",0
"35",1,105,105,"neg",65,61,"trace",16,"Fiks are cleverer",4
"36",1,105,105,"pos",50,50,"eyes",10,"Dobs have human-like eyes",0
"37",1,105,105,"pos",70,58,"deception",10,"Zags are inconspicious",12
"38",1,105,105,"neg",73,67,"discrimination",18,"Yubs more observant",6
"39",1,105,105,"pos",50,50,"blood",10,"Different coloured blood",0
"40",1,105,105,"neg",49,51,"DNA",16,"Human DNA present",-2
"41",1,104,104,"neg",24,18,"limbs",11,"two arm limbs",6
"42",1,104,104,"neg",19,16,"blood",11,"blood is red",3
"43",1,104,104,"pos",9,15,"deception",9,"hide themselves",-6
"44",1,104,104,"neg",17,21,"discrimination",19,"difference between objects",-4
"45",1,104,104,"neg",13,11,"mirror",13,"can see mirror",2
"46",1,104,104,"neg",8,8,"DNA",17,"similar to human",0
"47",1,104,104,"neg",15,13,"trace",17,"got treat after",2
"48",1,104,104,"neg",10,13,"eyes",11,"side eyes",-3
"49",1,103,103,"pos",52,52,"blood",10,"colour of blood",0
"50",1,103,103,"neg",42,43,"deception",10,"the hiding",-1
"51",1,103,103,"neg",61,63,"trace",18,"intelligence levels",-2
"52",1,103,103,"pos",62,61,"eyes",10,"eye location",1
"53",1,103,103,"pos",49,55,"limbs",10,"number of arms",-6
"54",1,103,103,"pos",87,90,"mirror",12,"appearance details",-3
"55",1,103,103,"neg",100,100,"discrimination",20,"distinction between objects",0
"56",1,103,103,"pos",71,68,"DNA",16,"makeup of DNA",3
"57",1,102,102,"neg",100,100,"blood",11,"The difference between Chips and Yubs is the colour of their blood, Chups blood is red and Yubs blood is yellow.",0
"58",1,102,102,"neg",100,100,"eyes",11,"The main difference between Pods and Shuks is the position of their eyes. Pods have right and left eyes, while Shuks have one eye situated above the other.",0
"59",1,102,102,"neg",100,98,"trace",19,"The slight difference between Leems and Huls is that Leems can associate the flash of a light and a treat even when the treat is given 1 second after the flash. Huls can only do this when the treat is given immediately.",2
"60",1,102,102,"neg",99,100,"deception",11,"Xons when they steal food do not attempt to hide when they have done this, while Toffs do.",-1
"61",1,102,102,"neg",100,100,"limbs",11,"Rubs have five arm-like limbs while Fiks just have two",0
"62",1,102,102,"neg",100,100,"mirror",13,"instant cleanliness",0
"63",1,102,102,"neg",100,100,"DNA",17,"genetic differences",0
"64",1,102,102,"neg",98,99,"discrimination",21,"Intelligence",-1
"65",1,101,101,"neg",21,21,"trace",20,"ability to react to a treat",0
"66",1,101,101,"pos",0,0,"limbs",10,"number of limbs",0
"67",1,101,101,"neg",6,6,"DNA",18,"the DNA structure",0
"68",1,101,101,"pos",0,0,"blood",10,"blood colour",0
"69",1,101,101,"neg",0,0,"eyes",12,"position of eyes",0
"70",1,101,101,"neg",17,15,"mirror",14,"reaction to a mirror",2
"71",1,101,101,"neg",45,37,"discrimination",22,"ability to make associations",8
"72",1,101,101,"pos",39,37,"deception",10,"attitude to stealage",2
"73",1,100,100,"neg",52,49,"mirror",15,"Fiks aren't so ocd about germs",3
"74",1,100,100,"pos",51,51,"limbs",9,"toffs have more limbs than the Elms",0
"75",1,100,100,"pos",55,50,"DNA",17,"Huls have more building blocks similar to humans, Xons have none.",5
"76",1,100,100,"pos",63,64,"blood",9,"their blood colour.",-1
"77",1,100,100,"pos",58,50,"trace",19,"Geks pick up info quicker",8
"78",1,100,100,"neg",99,100,"eyes",13,"position of eyes",-1
"79",1,100,100,"neg",100,100,"discrimination",23,"their eyesight",0
"80",1,100,100,"neg",90,88,"deception",11,"leems are not honest",2
"81",1,99,99,"neg",25,79,"blood",10,"Different coloured blood",-54
"82",1,99,99,"neg",28,72,"limbs",10,"Different number of limbs",-44
"83",1,99,99,"neg",26,74,"DNA",18,"Different dna building blocks",-48
"84",1,99,99,"pos",73,24,"trace",18,"Short term memory",49
"85",1,99,99,"neg",36,62,"deception",12,"Lack shame",-26
"86",1,99,99,"pos",58,38,"eyes",12,"Their vision",20
