"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description"
"1",2,"5ec19ee0501a370888fa99b0",10,"pos",66,67,"biology",9,"Dobs are more human like with red blood and similar dna chemicals"
"2",2,"5ec19ee0501a370888fa99b0",10,"neg",73,75,"appearance",11,"Chups have eyes that are positioned like human with two limbs rather than five"
"3",2,"5ec19ee0501a370888fa99b0",10,"neg",73,74,"eRichness",13,"Vems are better at dealing with bad moods and working out when a situation is better for them"
"4",2,"5ec19ee0501a370888fa99b0",10,"neg",71,69,"time",13,"Huls are not as smart as the shucks and cannot see past the present"
"5",2,"5ec19ee0501a370888fa99b0",10,"neg",68,68,"unity",13,"Leems are able to learn quickly when they need to"
"6",2,"5ec19ee0501a370888fa99b0",10,"neg",65,71,"size",11,"Xons are much larger then xons"
"7",2,"5ec19ee0501a370888fa99b0",10,"neg",87,68,"self",13,"Yubs are more aware of their actions"
"8",2,"5ec19ee0501a370888fa99b0",10,"neg",79,66,"pRichness",13,"Fiks are a lot smarter than geks"
"9",2,"5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,100,"appearance",10,"Zags are aliens with two eyes, these are right and left eyes, while Chups still have two eyes, their eyes are located on top of each other. Also another difference is Zags have to limbs that look like arms whilst the Chups have five."
"10",2,"5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,65,"eRichness",12,"Toffs and Leems are both capable of having good and bad moods, the difference lies in their reactions when shown an angry face. A toff will when shown an angry face, keep looking at the angry face if in a good mood but look away when in a bad mood, whereas the Leems will keep looking at the angry face whatever their mood. Another difference is that it appears that Toffs have a preference for sweet berries regardless of their current conditions while the Leems seem not to have a preference for berry taste."
"11",2,"5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,41,"self",12,"Geks appear to have a higher measure of self-recognition, shown with recognition of themselves and an imperfection in the mirror and the fact they know to hide when they have done something wrong (Stealing food). Whereas Rubs do not show much of a measure in terms of recognition, as when presented with a mirror they do not acknowledge themselves or attempt to hide when they have done a misdeed."
"12",2,"5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,48,"time",12,"Pods are aliens that appear to have a higher intelligence, demonstrated by recognition of key shape needed to open the glass box to retrieve the space berries and the fact that they understood to wait for the berries from the tree to sweeten. Elms have a lower intelligence shown by the random pick of key shape for the glass box and the immediate eating of the fruit regardless of their ripeness"
"13",2,"5e9aff02f4a78b1a1fe7fc3c",9,"neg",91,66,"pRichness",14,"Vems and Huls are both able to learn simple rules, but Vems demonstrate a higher understanding with more of a long term effect to their learning, this is demonstrated by the ability to tell the difference between very similar objects and when given a treat for making a connection between the light and the treat, they were still able even after waiting, this also demonstrated a higher intellect."
"14",2,"5e9aff02f4a78b1a1fe7fc3c",9,"pos",0,0,"size",10,"Xons are much larger and heavier than Shuks. Xons weigh around the weight of a punching bag while the Shuks weigh around the weight of a paperclip. Therefore the only difference is size and weight."
"15",2,"5e9aff02f4a78b1a1fe7fc3c",9,"pos",54,50,"biology",8,"Dobs are very similar to Yubs. The difference for the Dobs is that their DNA Structure has a closer resemblance to a humans, whilst having the same blood colour of a human. The Yubs do not have any comparative elements to a human, as their DNA is different and blood is yellow. Therefore making Dobs more humanoid."
"16",2,"5e9aff02f4a78b1a1fe7fc3c",9,"pos",100,87,"unity",12,"Fiks appear to show a higher level of inference and a better understanding of senses than Norps. This is demonstrated by the Fiks being able to recognise the touch of a fruit after being shown only a picture, showing they can understand the elements of the fruit in the picture and how they relate to touch and real life, whilst the Norps were only able to do this with previous experience of touching the fruit. Also the Fiks were able to learn a task and then apply it themselves, shown by squeaking when both eyes see a flower even though one is untrained, whilst the Norps were only able to when they are trained."
"17",2,"5deeae4afe675754baef331c",8,"neg",68,67,"biology",9,"Fiks are... the fiks have red blood, and have the same dna as humans, the toffs share no dna as humans and fiks and also has yellow blood"
"18",2,"5deeae4afe675754baef331c",8,"neg",69,70,"self",13,"Shuks are... shuks have more self recognition, with the mirror and hiding when being cought, Dobs odnt have this factor of life, meaning the shuks are closer to humans with the self recognition as we do"
"19",2,"5deeae4afe675754baef331c",8,"neg",78,78,"eRichness",13,"Rubs are... yubs are more conditioned to wether than rubs. they have more of a need and state of survival unlike the rubs."
"20",2,"5deeae4afe675754baef331c",8,"neg",49,49,"time",13,"Vems are... vems can make quick descions rather than having to wait and make a descion. the quick descion will have more of a positive after, yet they fail when having to wait. xons are able to make descions which they can wait for however, in a moments descion they are fast to get their own needs."
"21",2,"5deeae4afe675754baef331c",8,"pos",80,27,"size",9,"Norps are... they both are bulit completly different. norps are havier and taller where as zags are short weigh lighter."
"22",2,"5deeae4afe675754baef331c",8,"pos",78,60,"unity",11,"Huls are... pods cant connect information together the way huls can. huls are a little smarter then the pods."
"23",2,"5deeae4afe675754baef331c",8,"neg",83,84,"pRichness",15,"Chups are... they have different ways of sotring information, due to memory. chups have a more favourable memory and information process, whereas elms arent able to do this. they are more able to do so in moment."
"24",2,"5deeae4afe675754baef331c",8,"pos",87,88,"appearance",9,"Geks are... they have a completly different body type. leems have five arms which may be better for survival, however with geks being more able of prohibral vision they also have this trait too."
"25",2,"5a88863f5292b80001231680",7,"pos",88,77,"eRichness",12,"Huls are... more emotionally advanced than gets as they distinguish between angry and non angry faces by turning away. They can also balance their wants and needs by remaining in the cold if they are given sweet berries. Geks seem more simple with not being able to do this and always acting in the same way by staring at the face whatever and always leaving at 12'C"
"26",2,"5a88863f5292b80001231680",7,"neg",65,65,"biology",10,"Leems are... similar to humans in terms of their DNA and colour of their blood. Pods seem to differ in the colour of the blood and the chemical that makes them up."
"27",2,"5a88863f5292b80001231680",7,"neg",70,70,"appearance",10,"Zags are...similar to humans in terms of their two eyes being side by side and having two limbs whereas Elms res are one above each other and they have more limbs"
"28",2,"5a88863f5292b80001231680",7,"pos",64,64,"size",8,"Shuks are...tall and have a larger weight than chups. Chups are tiny in terms of weight and size similar to a paperclip."
