"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description"
"1",5,"5d8cef3c28e183001a335ab0",10,"neg",64,64,"size",11,"Rubs are...heaver and taller and Chups are much lighter and smaller in height"
"2",5,"5d8cef3c28e183001a335ab0",10,"pos",87,28,"time",15,"Dobs are... cleverer and better able to problem solve and wait for reward whilst Geks are not as smart and want immediate gratification."
"3",5,"5d8cef3c28e183001a335ab0",10,"pos",70,24,"biology",11,"Pods are... more closely related to humans whilst Hul's DNA is completely unrelated from humans and they share none of the same genetic make up"
"4",5,"5d8cef3c28e183001a335ab0",10,"neg",79,52,"pRichness",15,"Elms are... more visually aware and have better short term memory whereas Vems cannot distinguish small visual details and cannot hold information in their short term memory."
"5",5,"5d8cef3c28e183001a335ab0",10,"neg",55,56,"appearance",15,"Xons are... more like humans in that they have two eyes sat next to each other and two limbs for arms whereas Toffs features do not resemble those of humans because they have more arms and their eyes are placed differently."
"6",5,"5d8cef3c28e183001a335ab0",10,"neg",83,40,"self",11,"Shuks are... better able to recognize themselves in the mirror and attempt to hide if they are caught stealing food."
"7",5,"5d8cef3c28e183001a335ab0",10,"pos",95,31,"eRichness",11,"Leems are... better able to recognise emotions and are able to tolerate disliked conditions if they get something out of it but Yubs could not weight up different needs against each other"
"8",5,"5d8cef3c28e183001a335ab0",10,"pos",82,26,"unity",17,"Fiks are... able to make use of information from their different senses and also share information between their eyes whereas Zags could only respond to information if their specific eye was trained so are not as good at learning"
"9",5,"57d5ab3a722df500017f3622",9,"pos",100,88,"unity",16,"Fiks can recognise a fruit once they have seen a picture of it even without touching it. Yubs have to touvh to recognise. Fiks can make a sound when they see a picture after covering either eye, yubs only play make a sound when they cover their right eye"
"10",5,"57d5ab3a722df500017f3622",9,"pos",96,89,"appearance",14,"rubs have a left and right eye with two limbs. Shuks eyes have one above the other they also have 5 limbs"
"11",5,"57d5ab3a722df500017f3622",9,"pos",100,75,"biology",10,"Geeks have 4 human bases and are red blooded. Dobs have no human bases and have yellow blood"
"12",5,"57d5ab3a722df500017f3622",9,"neg",97,96,"size",12,"Pods are taller and weigh more"
"13",5,"57d5ab3a722df500017f3622",9,"pos",98,93,"pRichness",14,"Xons are able to tell the difference between similar objects and Chups cannot. Xons are immediatly recognise a light with a treat. Chups do not recognise light with a treat if there is a delay in them seeing it"
"14",5,"57d5ab3a722df500017f3622",9,"neg",94,97,"time",16,"Huls are able to associate triangular keys with berries and prefer to eat berries immediately. Norps do not associate any keys with berries. Norps prefer to ripen berries before they eat them as well"
"15",5,"57d5ab3a722df500017f3622",9,"neg",100,100,"self",12,"Zags like to clean even a small bit of dirt from their faces. When they still food they hide afterwards. Elms don't care if their face is slightly dirty. After elms steal food they do not hide"
"16",5,"57d5ab3a722df500017f3622",9,"neg",98,98,"eRichness",12,"Toffs look away from an angry face if they are in a bad mood, vems do not look away no matter what their mood is. Toffs prefer their berries at a certain room temperature while vems do not mind what the room temperature is"
"17",5,"5fba7e6893585f7e4ade81ee",8,"pos",38,13,"pRichness",13,"Dobs are able to differentiate different shades of similar colours from one another which Fiks cannot. Dobs also appear to have better short term memory than Fiks, being able to associate a treat with a stimulus after as much as a one second time gap, compared to Fiks which require immediate treat dispensation"
"18",5,"5fba7e6893585f7e4ade81ee",8,"neg",37,37,"appearance",15,"Rubs are... circular creatures with two arm like limbs and two eyes, one of which is on the left and one on the right side of the face. Xons have five limbs and two eyes, but their two eyes are separated vertically with one above and one below."
"19",5,"5fba7e6893585f7e4ade81ee",8,"pos",57,30,"eRichness",11,"Yubs are... affected by the mood of others, as when in a bad mood they will not look at an angry face unlike Elms which do not care. Yubs also are more likely to shift priorities depending on different situations in low temperatures, as opposed to Elms which appear behave the same way regardless of pleasureable stimuli in the face of unpleasureable stimuli"
"20",5,"5fba7e6893585f7e4ade81ee",8,"pos",41,23,"unity",15,"Huls are... more likely able to synthesise stimuli from different sensory organs to reach conclusions than Zags. They do this in a similar way both for utilising information from both eyes and for situations where combining stimuli from touch and visuals. They perform better in both of these than Zags"
"21",5,"5fba7e6893585f7e4ade81ee",8,"neg",31,32,"biology",11,"Geks are...creatures that possess red blood compared to Geks yellow blood. They also have DNA consisting of the four bases that comprise human DNA, unlike Vems which posses none of these bases."
"22",5,"5fba7e6893585f7e4ade81ee",8,"pos",59,33,"self",11,"Shuks are... more able to recognise images of the self than Leems, as well as be more aware of how their behavior can be seen by othersthan Leems"
"23",5,"5fba7e6893585f7e4ade81ee",8,"pos",33,9,"size",11,"Toffs are... much taller and heavier than Chups, weighing thousands of times more and measuring over a hundred times taller."
"24",5,"5fba7e6893585f7e4ade81ee",8,"pos",62,31,"time",15,"Norps are... More able to solve problems than Pods and are more able to abstain from immediate gratification for future pleasure than Pods"
"25",5,"5f68b388639cf2015e259207",7,"pos",3,4,"appearance",14,"Pods are... pods have 2 eyes beside each other and 2 arms whereas huls have 2 eyes one above the other and 5 arms"
"26",5,"5f68b388639cf2015e259207",7,"pos",75,4,"time",14,"Elms are... more inteligent than the toffs"
"27",5,"5f68b388639cf2015e259207",7,"neg",44,45,"size",12,"Shuks are... fatter and taller than dobs"
"28",5,"5f68b388639cf2015e259207",7,"neg",73,77,"self",12,"Xons are... more attentive and clever whereas vems are courageous"
"29",5,"5f68b388639cf2015e259207",7,"pos",65,14,"unity",14,"Zags are... are more inteligent than rubs"
"30",5,"5f68b388639cf2015e259207",7,"pos",53,56,"biology",10,"Norps are...almost identical to human genes whereas fiks are not"
"31",5,"5f68b388639cf2015e259207",7,"neg",60,64,"eRichness",12,"Chups are... moody whereas geks are not"
