"","chain_number","subj_id","participant_number","mwj","conscPos","conscNeg","dimension","numNeg","description"
"1",3,"5fde1acf0f62f44eb7affd64",10,"pos",100,19,"self",11,"Chups are... more self-aware as they will attempt to wipe remove dirt from themselves or hide themselves if they are caught stealing food. They seem to care a lot about what others think of their appearance and behaviour."
"2",3,"5fde1acf0f62f44eb7affd64",10,"neg",50,50,"biology",17,"Geks are... very similar to humans as they have the same bases that make up human DNA and also have red blood."
"3",3,"5fde1acf0f62f44eb7affd64",10,"neg",39,65,"time",15,"Zags are... more logical in their thinking but may make rash decisions due to a lack of patience."
"4",3,"5fde1acf0f62f44eb7affd64",10,"neg",49,49,"appearance",11,"Toffs are... more physically resembling human appearance with two aligned eyes and two limbs for arms."
"5",3,"5fde1acf0f62f44eb7affd64",10,"pos",100,94,"pRichness",15,"Huls are... slightly more intelligent than Leems and have the ability to think quicker and effectively at a higher performance."
"6",3,"5fde1acf0f62f44eb7affd64",10,"pos",82,62,"eRichness",11,"Shuks are... more likely to shy away from their own emotions but are able to cope with lower temperatures for berries."
"7",3,"5fde1acf0f62f44eb7affd64",10,"pos",100,55,"unity",11,"Pods are... very intelligent and able to pick up different senses effectively from very minimal interaction or vision of objects beforehand."
"8",3,"5fde1acf0f62f44eb7affd64",10,"neg",51,51,"size",11,"Fiks are... hugely taller and heavier."
"9",3,"5e399832a6df461b2f4db341",9,"pos",100,93,"size",10,"Norps are... much taller than Xons (120 cm compared to 1cm) as well as being heavier (45kg compared to 1 gram)"
"10",3,"5e399832a6df461b2f4db341",9,"pos",100,100,"eRichness",10,"Zags are... able to experience both good and bad moods, but look away from the face when in a bad mood, unlike Yubs who look at the face regardless of mood. Zags dislike the cold and leave the room at 12 degrees in the unsweet condition but at 8 degrees in the sweet berry condition, compared with Yubs who leave the room at 12 degrees regardless of sweetness."
"11",3,"5e399832a6df461b2f4db341",9,"pos",100,100,"unity",10,"Fiks are... able to recognise fruit by touch even if they haven't touched it before, whereas Rubs can only recognise it if they have touched it before. Fiks also make a squeak sound when seeing a flower with both the trained and untrained eye, whereas Rubs only respond when it is seen by the trained left eye."
"12",3,"5e399832a6df461b2f4db341",9,"pos",100,100,"appearance",10,"Pods are... 2 limbed creatures with left and right eyes, whereas Vems have 5 limbs and eyes one on top of the other."
"13",3,"5e399832a6df461b2f4db341",9,"pos",100,100,"self",10,"Geks are... able to self-recognise, they like to stay clean and will wipe away flecks of dirt they see in the mirror. Huls also like to be clean but dont recognise themselves in the mirror, evidences by their lack of recognition to seeing dirt on themselves in the mirror. Both live in small groups and sometimes steal from their neighbours, Geks try to hide but Huls dont."
"14",3,"5e399832a6df461b2f4db341",9,"pos",100,100,"time",14,"Dobs are... able to understand that they need the triangle key to open the box and access the berries, whereas Chups dont show a preference for selecting the triangle key. When given unripe fruit the Dobs do not immediately eat them, instead they wait, whereas in the same situation the Chups would eat the fruit immediately."
"15",3,"5e399832a6df461b2f4db341",9,"pos",100,100,"biology",16,"Leems are... made up of the same DNA as humans, whereas Shuks aren't. Leems also bleed red, whereas Shuks bleed yellow."
"16",3,"5e399832a6df461b2f4db341",9,"pos",100,100,"pRichness",14,"Elms are... able to discriminate between very similar object, unlike Toffs. Elms are able to make an associate between the light and the treat even with a delay, unlike Toffs who could only associate with no time delay."
"17",3,"5f6c9e7e9d4078069e0d5e08",8,"pos",97,75,"time",13,"Shuks are more able than Rubs to make plans for for the future"
"18",3,"5f6c9e7e9d4078069e0d5e08",8,"pos",100,100,"eRichness",9,"Huls are more able than Chups to make decisions based on what they like and dislike"
"19",3,"5f6c9e7e9d4078069e0d5e08",8,"neg",50,50,"appearance",11,"Leems are have right and left eyes and two humanoid type arms; Zags have two eyes one above the other, and five arms"
"20",3,"5f6c9e7e9d4078069e0d5e08",8,"pos",100,92,"self",9,"Norps are able to recognise themselves in a mirror, and also a figurative mirror (recognising behaviour). Elms cannot."
"21",3,"5f6c9e7e9d4078069e0d5e08",8,"neg",50,50,"size",11,"Yubs are much taller and heavier than Toffs"
"22",3,"5f6c9e7e9d4078069e0d5e08",8,"neg",89,89,"unity",11,"Fiks are more able to recognise and integrate stimulus to different senses"
"23",3,"5f6c9e7e9d4078069e0d5e08",8,"neg",100,98,"pRichness",15,"Pods are able to recognise even subtle differences between similar objects, and to make connections between events, even if the time varies. Geks cannot."
"24",3,"5f6c9e7e9d4078069e0d5e08",8,"neg",50,50,"biology",17,"Dobs are more similar to humans; their DNA is made up of the same four components and their blood is red. This is not true for Xons."
"25",3,"5e827e743fc2bd0f3dcfc34d",7,"pos",82,50,"time",12,"Elms are... will mostly follow instructions or familiar steps. They also like to wait until their fruits are ripe to indulge"
"26",3,"5e827e743fc2bd0f3dcfc34d",7,"pos",88,48,"pRichness",14,"Fiks are... able to comprehend rules when given a task.They don't just rush to do something. they think before they act"
"27",3,"5e827e743fc2bd0f3dcfc34d",7,"pos",51,50,"appearance",10,"Rubs are... they have different body types specifically with their eyes and arms"
"28",3,"5e827e743fc2bd0f3dcfc34d",7,"pos",56,50,"unity",10,"Yubs are... enhanced in having photographic memory. they have a special skill"
"29",3,"5e827e743fc2bd0f3dcfc34d",7,"pos",83,10,"self",8,"Dobs are... OCD AND FEEL GUILTY WHEN THEY ARE CAUGHT DOING SOMETHING WRONG"
"30",3,"5e827e743fc2bd0f3dcfc34d",7,"pos",46,47,"eRichness",8,"Shuks are... VERY EMPTHATIC. THEY HAVE A RANGE OF EMOTIONS."
"31",3,"5e827e743fc2bd0f3dcfc34d",7,"pos",54,50,"biology",16,"Vems are... HAVE A DIFFERENT COLOR OF BLOOD AND THEY ALSO HSVE HUMAN GENETIC MAKUP"
"32",3,"5e827e743fc2bd0f3dcfc34d",7,"neg",57,57,"size",12,"Xons are... TALLER AND HEAVIER IN WEIGHT AND HEIGHT"
"33",3,"58556f5f71a3ef0001cc94f1",6,"pos",100,100,"biology",15,"Dobs are... Dobs red veins. Vems are yellow.Dob genes are made up of the same four bases that make up human DNA, ACTG. The genes of Vems are made up of bases that bear no chemical resemblance to human DNA."
"34",3,"58556f5f71a3ef0001cc94f1",6,"pos",100,100,"time",11,"Huls are... able to see the space berries through the glass and understand why they needed a certain key. Fiks did not understand that a triangular key was needed. Huls also prefer the larger, sweeter space berries like Fiks but Fiks do not save them for later like Huls"
"35",3,"58556f5f71a3ef0001cc94f1",6,"pos",100,100,"pRichness",13,"Xons are... able to learn simple rules and differentiate between very similar objects. Rubs are also able to do this but cannot differentiate between similar objects. Xions could differentiate between light and treat in all circumstances but Rubs were only able to do this when it was given straight away."
"36",3,"58556f5f71a3ef0001cc94f1",6,"pos",100,100,"self",7,"Zags are... clean and remove dirt when they see it. Geks are clean but they tend to ignore the fleck of dirt on the mirror. Zags live in groups and steal neighbour's food, but hide when they do so, Geks do the same but don't try and hide."
"37",3,"58556f5f71a3ef0001cc94f1",6,"neg",100,100,"appearance",11,"Elms are... physically different from Toffs in that they have left and right eyes, where as Toffs have one above the other, unlike next to each other. Elms have 2 limbs, Toffs have 5."
"38",3,"58556f5f71a3ef0001cc94f1",6,"pos",100,100,"unity",9,"Yubs are... able to recognise fruit through touch. Chups aren't able to do this unless they have touched it before. Yubs are able to be trained to react to a photo of something but Chups can only recognise it through their left eye."
"39",3,"58556f5f71a3ef0001cc94f1",6,"pos",100,100,"eRichness",7,"Pods are... able to recognise emotions in faces but look away from the faces when in a bad mood. Norps also do but don't look away regardless of mood. Pods don't like cold weather and unsweet berries, Norps don't either but don't leave the room because of it."
"40",3,"58556f5f71a3ef0001cc94f1",6,"pos",100,100,"size",11,"Shuks are... heavier and taller than Leems"
"41",3,"5d51f0cd8c48ca0001855d35",5,"pos",80,78,"size",10,"Chups are... taller than vems and weigh more."
"42",3,"5d51f0cd8c48ca0001855d35",5,"neg",77,55,"appearance",12,"Geks are... less mobile than huls as they have less legs."
"43",3,"5d51f0cd8c48ca0001855d35",5,"neg",100,38,"self",8,"Rubs are... more self-conscious than Elms and feel more guilt."
"44",3,"5d51f0cd8c48ca0001855d35",5,"pos",88,45,"unity",8,"Xons are...smarter than Leems and more intellectual."
"45",3,"5d51f0cd8c48ca0001855d35",5,"pos",88,50,"biology",14,"Pods are...more human-like than Shuks."
"46",3,"5d51f0cd8c48ca0001855d35",5,"neg",59,85,"eRichness",8,"Yubs are... less resistant than Zags."
"47",3,"5d51f0cd8c48ca0001855d35",5,"neg",55,55,"time",12,"Dobs are... more similar to humans when it comes to reasoning tasks."
"48",3,"5d51f0cd8c48ca0001855d35",5,"pos",80,47,"pRichness",12,"Toffs are... able to discriminate between things/objects more than Fiks."
